epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.44546,1.13753,2.50372,1.51124,0.00194,0.58333,0.00534,0.0018,2.48329,4.11533,2.15265,0,0,0
2,17.9296,1.17446,2.54306,1.58159,0.00194,0.58333,0.0048,0.00115,2.6622,4.28308,2.28343,1.9208e-05,1.9208e-05,1.9208e-05
3,25.1583,1.16233,2.53882,1.4589,0.00167,0.5,0.00283,0.00069,2.98121,4.55396,2.54101,3.6832e-05,3.6832e-05,3.6832e-05
4,33.3828,1.13813,2.52427,1.5502,0.00194,0.58333,0.00346,0.00073,3.25293,4.80508,2.70861,5.2872e-05,5.2872e-05,5.2872e-05
5,41.6606,1.17617,2.60008,1.52377,0.00167,0.5,0.00331,0.00059,3.30393,4.63057,2.73135,6.7328e-05,6.7328e-05,6.7328e-05
6,49.9778,0.86035,2.46202,1.41773,0.00139,0.41667,0.00244,0.00073,3.02699,4.09887,2.58022,8.02e-05,8.02e-05,8.02e-05
7,57.9225,0.98346,2.41449,1.47,0.00306,0.91667,0.03137,0.00572,2.58552,3.89949,2.3136,9.1488e-05,9.1488e-05,9.1488e-05
8,66.2687,0.90676,2.39946,1.38838,0.00333,1,0.05644,0.01555,1.85591,3.63549,1.84718,0.000101192,0.000101192,0.000101192
9,74.5,0.5703,2.26007,1.18913,0.00333,1,0.08007,0.02862,1.41888,3.44667,1.58968,0.000109312,0.000109312,0.000109312
10,83.734,0.56238,2.22767,1.17377,0.00333,1,0.13276,0.04566,1.2143,3.37487,1.44914,0.000115848,0.000115848,0.000115848
11,91.8987,0.54459,2.12388,1.19102,0.00333,1,0.2204,0.07561,1.06978,3.32614,1.34058,0.0001208,0.0001208,0.0001208
12,99.7254,0.60415,2.1378,1.1515,0.00333,1,0.2523,0.0894,0.96645,3.27991,1.26147,0.000124168,0.000124168,0.000124168
13,107.298,0.67641,2.05434,1.24964,0.00333,1,0.374,0.13026,0.88422,3.23829,1.1959,0.000125952,0.000125952,0.000125952
14,114.765,0.79531,2.09763,1.2805,0.00333,1,0.32678,0.1271,0.91062,3.25037,1.21396,0.000126152,0.000126152,0.000126152
15,121.732,0.47509,1.81859,1.12945,0.00333,1,0.35295,0.13023,0.96096,3.23175,1.24431,0.000124768,0.000124768,0.000124768
16,129.18,1.1248,2.42874,1.61864,0.00333,1,0.40201,0.13729,0.91419,3.22216,1.20328,0.0001218,0.0001218,0.0001218
17,136.624,0.66224,1.99359,1.23688,0.00333,1,0.43928,0.17489,0.83875,3.18717,1.12168,0.000117248,0.000117248,0.000117248
18,144.4,0.61748,1.98302,1.26725,0.00333,1,0.43928,0.17489,0.83875,3.18717,1.12168,0.000111112,0.000111112,0.000111112
19,151.923,0.49283,1.91008,1.1855,0.00333,1,0.39654,0.23087,0.80325,3.15967,1.09136,0.000103392,0.000103392,0.000103392
20,159.465,0.61424,1.90089,1.198,0.00333,1,0.39654,0.23087,0.80325,3.15967,1.09136,9.4088e-05,9.4088e-05,9.4088e-05
21,166.792,0.63132,1.89776,1.31682,0.00333,1,0.53546,0.35073,0.76122,3.14072,1.02503,8.32e-05,8.32e-05,8.32e-05
22,174.477,0.54706,1.68039,1.27643,0.00333,1,0.53546,0.35073,0.76122,3.14072,1.02503,7.0728e-05,7.0728e-05,7.0728e-05
23,181.948,0.51869,1.80332,1.17961,0.00333,1,0.56047,0.39614,0.73782,3.14798,1.01688,5.6672e-05,5.6672e-05,5.6672e-05
24,189.491,0.66716,2.0025,1.27265,0.00333,1,0.56047,0.39614,0.73782,3.14798,1.01688,4.1032e-05,4.1032e-05,4.1032e-05
25,196.989,0.49048,1.67069,1.0889,0.00333,1,0.55276,0.40155,0.73399,3.14766,1.00812,2.3808e-05,2.3808e-05,2.3808e-05
